modeltype,numberOfFaces,numberOfVerticesPerFace,translate,scale,rotationAngle,verticesSize,vertices,colorsSize,colors,texcoordsSize,texcoords,textureVariables,normalsSize,normals,customModelAttributesCount,customModelAttributes,text
TRIANGLE,1,3,-5.753000;-2.877000;0.000000,0.359781;0.359781;0.359781,0.000000;0.000000;18.082001,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,Stone.bmp,0,NODATA,0,NODATA,NODATA,
TRIANGLE,1,3,-5.479000;2.534000;0.000000,0.363506;0.363506;0.363506,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,0.705882;0.114187;0.114187;1.000000;0.705882;0.114187;0.114187;1.000000;0.705882;0.114187;0.114187;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,NOFILE,0,NODATA,0,NODATA,NODATA,
RECTANGLE,1,6,-4.110000;-3.836000;-2.123000,0.348178;0.348178;0.348178,0.000000;0.000000;0.000000,18,1.000000;1.000000;0.000000;-1.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000;1.000000;1.000000;0.000000,24,1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000,12,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,Smiley.bmp,0,NODATA,0,NODATA,NODATA,
RECTANGLE,1,6,-5.069000;2.192000;-1.781000,0.387536;0.744000;0.387536,0.000000;31.233000;0.000000,18,1.000000;1.000000;0.000000;-1.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000;1.000000;1.000000;0.000000,24,1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000,12,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,NOFILE,0,NODATA,0,NODATA,NODATA,
PYRAMID,4,3,-2.329000;-2.740000;0.000000,0.579445;0.579445;0.579445,0.000000;212.054993;0.000000,36,0.000000;1.000000;0.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;0.000000;1.000000;0.000000;-1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;0.000000;1.000000;0.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;1.000000,48,1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000,24,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000;0.500000;1.000000;0.000000;0.000000;1.000000;0.000000;0.500000;1.000000;0.000000;0.000000;1.000000;0.000000;0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,NOFILE;Vijay_Kundali.bmp;marble.bmp;NOFILE,0,NODATA,0,NODATA,NODATA,
PYRAMID,4,3,-4.384000;1.370000;-4.110000,0.570589;1.612000;0.570589,46.027000;0.000000;0.000000,36,0.000000;1.000000;0.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;0.000000;1.000000;0.000000;-1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;0.000000;1.000000;0.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;1.000000,48,1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000,24,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000;0.500000;1.000000;0.000000;0.000000;1.000000;0.000000;0.500000;1.000000;0.000000;0.000000;1.000000;0.000000;0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,NOFILE;NOFILE;NOFILE;NOFILE,0,NODATA,0,NODATA,NODATA,
CUBE,6,6,0.000000;-3.014000;0.000000,0.760288;0.760288;0.760288,0.000000;23.014000;0.000000,108,1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;1.000000;-1.000000;1.000000;1.000000;1.000000;1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;-1.000000;1.000000;-1.000000;1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;1.000000;-1.000000;1.000000,144,0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;0.500000;0.000000;1.000000;1.000000;0.500000;0.000000;1.000000;1.000000;0.500000;0.000000;1.000000;1.000000;0.500000;0.000000;1.000000;1.000000;0.500000;0.000000;1.000000;1.000000;0.500000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000,72,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,kangaru3.png;NOFILE;NOFILE;stoneWall.png;NOFILE;NOFILE,0,NODATA,0,NODATA,NODATA,
CUBE,6,6,-2.192000;1.644000;-4.795000,0.538314;1.141000;0.538314,32.876999;0.000000;0.000000,108,1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;1.000000;-1.000000;1.000000;1.000000;1.000000;1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;-1.000000;1.000000;-1.000000;1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;1.000000;-1.000000;1.000000,144,0.848039;0.336232;0.178753;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000;0.198682;0.671569;0.184352;1.000000,72,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,NOFILE;NOFILE;NOFILE;NOFILE;NOFILE;NOFILE,0,NODATA,0,NODATA,NODATA,
TEXT,0,0,-2.877000;0.000000;0.000000,0.485272;0.814000;0.485272,0.000000;11.507000;0.000000,0,NODATA,16,0.539360;0.236928;0.568627;1.000000;0.539360;0.236928;0.568627;1.000000;0.539360;0.236928;0.568627;1.000000;0.539360;0.236928;0.568627;1.000000,0,NODATA,NODATA,0,NODATA,0,NODATA,ojaswita,
CYLINDER,1,1,1.507000;-2.603000;0.000000,0.589604;0.890000;0.589604,0.000000;18.082001;0.000000,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,marble.bmp,0,NODATA,6,1.000000;0.500000;0.500000;4.000000;20.000000;20.000000,NODATA,
