modeltype,numberOfFaces,numberOfVerticesPerFace,translate,scale,rotationAngle,verticesSize,vertices,colorsSize,colors,texcoordsSize,texcoords,textureVariables,normalsSize,normals,customModelAttributesCount,customModelAttributes,text
TRIANGLE,1,3,0.000000;0.000000;0.000000,1.000000;1.000000;1.000000,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,,0,,0,,,
TRIANGLE,1,3,0.000000;0.000000;0.000000,1.000000;1.000000;1.000000,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,,0,,0,,,
TRIANGLE,1,3,0.000000;0.000000;0.000000,1.000000;1.000000;1.000000,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,,0,,0,,,
TRIANGLE,1,3,0.000000;0.000000;0.000000,1.000000;1.000000;1.000000,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,,0,,0,,,
TRIANGLE,1,3,0.000000;0.000000;0.000000,1.000000;1.000000;1.000000,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,,0,,0,,,
TRIANGLE,1,3,0.000000;0.000000;0.000000,1.000000;1.000000;1.000000,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,,0,,0,,,
TRIANGLE,1,3,0.000000;0.000000;0.000000,1.000000;1.000000;1.000000,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,,0,,0,,,
TRIANGLE,1,3,0.000000;0.000000;0.000000,1.000000;1.000000;1.000000,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,,0,,0,,,
TRIANGLE,1,3,0.000000;0.000000;0.000000,1.000000;1.000000;1.000000,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,,0,,0,,,
TRIANGLE,1,3,0.000000;0.000000;0.000000,1.000000;1.000000;1.000000,0.000000;0.000000;0.000000,9,0.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000,12,1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000,6,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,,0,,0,,,
