modeltype,numberOfFaces,numberOfVerticesPerFace,translate,scale,rotationAngle,verticesSize,vertices,colorsSize,colors,texcoordsSize,texcoords,textureVariables,normalsSize,normals,customModelAttributesCount,customModelAttributes,text
RECTANGLE,1,6,0.000000;0.000000;-2.754000,2.565000;1.145000;1.000000,0.000000;0.000000;0.000000,18,1.000000;1.000000;0.000000;-1.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000;1.000000;1.000000;0.000000,24,1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000,12,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,NOFILE,0,NODATA,0,NODATA,NODATA,
RECTANGLE,1,6,2.463000;0.000000;-1.449000,1.377000;1.087000;1.000000,0.000000;90.434998;0.000000,18,1.000000;1.000000;0.000000;-1.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000;1.000000;1.000000;0.000000,24,1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000,12,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,NOFILE,0,NODATA,0,NODATA,NODATA,
RECTANGLE,1,6,-2.464000;0.000000;-1.449000,1.348000;1.116000;1.000000,0.000000;92.174004;0.000000,18,1.000000;1.000000;0.000000;-1.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000;1.000000;1.000000;0.000000,24,1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000,12,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,NOFILE,0,NODATA,0,NODATA,NODATA,
PYRAMID,4,3,0.000000;1.740000;-1.304000,2.967232;0.610003;1.890028,0.000000;0.000000;0.000000,36,0.000000;1.000000;0.000000;-1.000000;-1.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;-1.000000;-1.000000;0.000000;1.000000;0.000000;-1.000000;-1.000000;-1.000000;1.000000;-1.000000;-1.000000;0.000000;1.000000;0.000000;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000;1.000000,48,1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000,24,0.500000;1.000000;0.000000;0.000000;1.000000;0.000000;0.500000;1.000000;0.000000;0.000000;1.000000;0.000000;0.500000;1.000000;0.000000;0.000000;1.000000;0.000000;0.500000;1.000000;0.000000;0.000000;1.000000;0.000000,NOFILE;NOFILE;NOFILE;NOFILE,0,NODATA,0,NODATA,NODATA,
RECTANGLE,1,6,0.000000;-1.014000;-1.014000,4.909217;4.909217;4.909217,88.695999;0.000000;0.000000,18,1.000000;1.000000;0.000000;-1.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000;1.000000;1.000000;0.000000,24,1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000,12,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,NOFILE,0,NODATA,0,NODATA,NODATA,
RECTANGLE,1,6,-1.449000;0.000000;-0.145000,1.000000;1.087000;1.000000,0.000000;0.000000;0.000000,18,1.000000;1.000000;0.000000;-1.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000;1.000000;1.000000;0.000000,24,1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000,12,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,NOFILE,0,NODATA,0,NODATA,NODATA,
RECTANGLE,1,6,1.449000;0.000000;-0.145000,0.974000;1.068771;1.038650,0.000000;0.000000;0.000000,18,1.000000;1.000000;0.000000;-1.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000;1.000000;1.000000;0.000000,24,1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000,12,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,NOFILE,0,NODATA,0,NODATA,NODATA,
RECTANGLE,1,6,0.000000;0.870000;-0.145000,0.470787;0.470787;0.470787,0.000000;0.000000;0.000000,18,1.000000;1.000000;0.000000;-1.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000;1.000000;1.000000;0.000000,24,1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000,12,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,NOFILE,0,NODATA,0,NODATA,NODATA,
RECTANGLE,1,6,0.000000;1.014000;0.145000,2.652000;0.623000;1.058000,111.304001;0.000000;0.000000,18,1.000000;1.000000;0.000000;-1.000000;1.000000;0.000000;-1.000000;-1.000000;0.000000;-1.000000;-1.000000;0.000000;1.000000;-1.000000;0.000000;1.000000;1.000000;0.000000,24,1.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000,12,1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000,NOFILE,0,NODATA,0,NODATA,NODATA,
CYLINDER,1,1,-1.884000;0.870000;0.145000,1.000000;-1.000000;1.000000,88.695000;0.000000;10.435000,0,NODATA,4,1.000000;0.000000;0.000000;1.000000,0,NODATA,NOFILE,0,NODATA,6,0.000000;0.048000;0.066000;2.163000;20.000000;20.000000,NODATA,
